Nume*;Email*;Județ*;Localitate*;Adresă*;Cod poștal*;Criterii de admitere*;Preț*;Servicii* - multiple;Categorii de îngrijire - multiple;Previzualizare imagine;Siglă cămin;Link video;Substituent video;Galerie imagini - multiple;Descriere scurtă*;Descriere*
"Camin EDEN";camineden@gmail.com;;Otopeni;"Strada Gării Otopeni 62, Otopeni, România";;;;"Asistenta medicala, Consiliere psihologica, psihoterapie, Consult medical regulat, Evaluare clinica, Geriatrie, Gimnastica medicala, Infirmiere, Ingrijire bolnavi, Ingrijire bolnavi cu Alzheimer, Ingrijire persoane cu handicap, Ingrijire persoane varstnice, Recuperare medicala, Recuperare neuromotorie, Reflexoterapie";;;;;;"https://www.camine-batrani.ro/wp-content/uploads/2019/09/42_image_1.jpg, https://www.camine-batrani.ro/wp-content/uploads/2019/09/42_image_2.jpg, https://www.camine-batrani.ro/wp-content/uploads/2019/09/42_image_3.jpg, https://www.camine-batrani.ro/wp-content/uploads/2019/09/42_image_4.jpg, https://www.camine-batrani.ro/wp-content/uploads/2019/09/42_image_5.jpg, https://www.camine-batrani.ro/wp-content/uploads/2019/09/42_image_6.jpg";;"Servicii de cazare, Asigurarea si servirea mesei, 3 mese principale si 2 snack-uri. Servicii medicale:- Zilnic medic de medicina generala care evalueaza fiecare rezident – Periodic medici: geriatru, neurolog, psihiatru, psiholog, cardiolog, etc – Asigurarea serviciului de ambulanta in caz de urgenta si/sau transportul la spital – Supraveghere medicala 24/24- Program de stimulare cognitiva cu psiholog – Consiliere psihologica – Masaj de recuperare – Kinetoterapie – Reflexoterapie – Terapie ocupationala – Gimnastica medicala – Administrarea tratamentului Servicii de ingrijire personala- Igienizarea si toaletarea rezidentilor ori de cate ori este nevoie – Asistarea si ajutarea rezidentilor in timpul servirii meselor- Curatenia zilnica si de cate ori este necesara a spatiului locativ – Asistarea rezidentilor in activitatile zilnice Socializare si petrecerea timpului- Asistenta sociala permanenta – Organizare evenimente, petreceri, aniversari – Jocuri, sporturi, concursuri – Excursii, deplasari la teatru, circ, opera, vernisaje, muzee, concerte, etc – Periodic serate petrecute in incinta Caminului eden in compania artistilor consacrati: muzicieni, actori, scriitori, pictori Servicii suplimentare la cerere- Analize de laborator- Consultatii de specialitate in clinica privata – Examene paraclinice de specialitate – Servicii de coafura, frizerie, manichiura/pedichiura, ingrijire corporala si faciala Spatiu si dotari: Caminul Eden a fost conceput si dotat pentru a oferi un maxim de confort si siguranta pentru membrii seniori ai familiei dumneavoastra. Va oferim conditii la cele mai inalte standarde occidentale de calitate cu un plus de personalizare si originalitate, intr-un mediu ambiant placut si familial menit sa va confere caldura si sentimentul de ‘acasa’. Intr-un imobil amplasat intr-o zona placuta, dispunand de 1400 mp construiti, o curte desfasurata pe 1600 mp amenajata peisagistic cu terasa, foisor, piscina, jacuzzi, sezlonguri, mese+scaune, pavilion, isi propune sa ofere independenta, intimitate si siguranta fiecarui rezident si totodata un mod de viata care sa ii fereasca de grijile specifice varstei. Locatia dispune de:Dormitoare de cate 1,2,3,4,5 locuri, dotate cu mobilier nou, dressinguri spatioase, TV LCD, sistem de incalzire/racire cu reglarea temperaturii in functie de dorinte si necesitatiCamerele dispun de terase proprii Grupuri sanitare mari, complete dotate cu cabina de dus cu hidromasaj sau cada cu jacuzzi, toalete, chiuvete si bideuri moderne Bucatarie proprie utilata modern ce respecta standardele de igiena si sanitare Loc de servit masa, tip restaurant, dotat cu mobilier si vesela de cea mai buna calitate Living generos dotat cu canapele, fotolii, TV Plasma, DVD, sistem audio, internet wireless, semineu, avand deschidere catre spatial verde din curtea interioara si piscine. Biblioteca si zona de lectura Spatiu destinat activitatilor de pictura si desen Cabinet medical pentru consultatii, tratamente, investigatii echipat cu aparatura medicala si masa de masaj"
"Senior Center";contact@azilprivat.ro;;;"Strada Badea Cârțan 16, Bucharest, Romania";;;;;;;;;;"https://www.camine-batrani.ro/wp-content/uploads/2019/09/image_6487327.jpg, https://www.camine-batrani.ro/wp-content/uploads/2019/09/image_6483441-3.jpg, https://www.camine-batrani.ro/wp-content/uploads/2019/09/image_6483441-1.jpg, https://www.camine-batrani.ro/wp-content/uploads/2019/09/image_6483441-6.jpg, https://www.camine-batrani.ro/wp-content/uploads/2019/09/image_6483441.jpg, https://www.camine-batrani.ro/wp-content/uploads/2019/09/image_6483441-2.jpg, https://www.camine-batrani.ro/wp-content/uploads/2019/09/image_6483441-7.jpg, https://www.camine-batrani.ro/wp-content/uploads/2019/09/image_6483441-4.jpg, https://www.camine-batrani.ro/wp-content/uploads/2019/09/119_image_5.jpg, https://www.camine-batrani.ro/wp-content/uploads/2019/09/image_6483441-5.jpg, https://www.camine-batrani.ro/wp-content/uploads/2019/09/image_6483441-8.jpg, https://www.camine-batrani.ro/wp-content/uploads/2019/09/119_image_3.jpg, https://www.camine-batrani.ro/wp-content/uploads/2019/09/119_image_4.jpg, https://www.camine-batrani.ro/wp-content/uploads/2019/09/119_image_6.jpg, https://www.camine-batrani.ro/wp-content/uploads/2019/09/119_image_7.jpg, https://www.camine-batrani.ro/wp-content/uploads/2019/09/119_image_8.jpg, https://www.camine-batrani.ro/wp-content/uploads/2019/09/119_image_9.jpg, https://www.camine-batrani.ro/wp-content/uploads/2019/09/119_image_10.jpg";;"Centrul creat si construit special pentru seniori Senior Center este un hotel de 3 * situat in central capitalei, in zona Bd. Stefan cel Mare fapt ce faciliteaza accesul imediat din orice zona a orasului. “Pentru unii, singurul sprijin la batranete este toiagul” (Vasile Ghica) plecand de la aceasta zicala, o echipa de specialisti va asigura ca mutarea Dvs. (temporara sau permanenta) intr-o casa noua va fi o experienta pozitiva care va oferi multe amintiri placute peste timp. Fiecare rezident este tratat individual si poate lua decizii in privinta ingrijirii sale. Personalul centrului este educat pentru ingrijire cu dragoste si loialitate si ofera supraveghere permanenta persoanelor cu diverse afectiuni precum: – sechele post AVC (pareze) – dementa Alzheimer aflat in stadiul de inceput sau mediu de boala, care nu sunt agresive fizic sau verbal – afectiuni reumatismale degenerative – stari post traumatice si post operatorii – afectiuni care generaza si intretin deficitul motor Se va urmarii indeaproape prevenirea si diminuarea simptomelor bolilor cornice si ocazionale cat si complicatiile bolilor asociate, tratare si recuperare cognitive si de memorie, recuperare ponderala, motorie, neuro-motorie, psihica, recuperare a simturilor, cat si mentinerea capacitatilor fizice si psihice. Pe langa monitorizarea permanenta a starii de sanatate si imbunatatirea conditiei fizice, central seniorilor ofera rezidentilor sai programe individualizate prin terapie ocupationala si psihoterapie."
"Casa Privata Banciu";casaprivatabanciu@camindebatrani.com.ro;;Bucuresti;;;;;"Asistenta medicala, Consiliere psihologica, psihoterapie, Consult medical regulat, Evaluare clinica, Gimnastica medicala, Infirmiere, Ingrijire bolnavi, Ingrijire bolnavi cu Alzheimer, Ingrijire persoane cu handicap, Ingrijire persoane varstnice, Recuperare medicala";;;;;;"https://www.camine-batrani.ro/wp-content/uploads/2019/09/164_image_01.jpg, https://www.camine-batrani.ro/wp-content/uploads/2019/09/164_image_02.jpg";;"Din dorinta de a-i astepta zambind pe cei care intarzie am creat un nou concept unde experienta si devotamentul in domeniul socio-uman si medical al specialistilor nostri asigura zambetul si confortul rezidentilor. Conceptul nostru este diferit – ne dorim ca rezidentii nostri sa fie activi si sa continue in ritm propriu modul de viata pe care l-au avut. Am ales in oras astfel incat se ne putem adapta la orice necesitate si solicitare din partea rezidentilor nostri, pentru a nu-i indeparta de prieteni, rude, colegi care ii pot vizita, existand in apropiere mijloace de transport spre toate directiile orasului. Linistea si increderea familiei rezidentului o dobandim prin seriozitate si profesionalism dar si prin climatul familiar. Cu ajutorul nostru familia Dvs. va fi absolvita de orice griji, incat poate sa se dedice linistita activitatii profesionale, poate organiza un weekend fara griji, un concediu de vis, noi luandu-va locul cu aceeasi caldura."
"Armonia – centru rezidential pentru varstnici";camin.armonia@gmail.com;;;;;;;;;;;;;"https://www.camine-batrani.ro/wp-content/uploads/2019/09/205_image_1.jpg, https://www.camine-batrani.ro/wp-content/uploads/2019/09/205_image_2.jpg, https://www.camine-batrani.ro/wp-content/uploads/2019/09/205_image_3.jpg, https://www.camine-batrani.ro/wp-content/uploads/2019/09/205_image_4.jpg, https://www.camine-batrani.ro/wp-content/uploads/2019/09/205_image_5.jpg";;"Caminele ARMONIA I si ARMONIA II s-au reunit de la 1 februarie 2016 intr-un sediu nou, spatios, cu o curte de aprox. 2000 mp, situat in zona Bucurestii Noi-Pajura. Oferim consultanta in obtinerea indemnizatiei de handicap si de insotitor. Motto: SA NE ARMONIZAM DORINTELE SI SA NE “CRESTEM” IMPREUNA PARINTII! Caminul Armonia va pun la dispozitie pachete de servicii personalizate. Vom stabili impreuna cu dumneavoastra continutul pachetului, in functie de starea de sanatate si necesitatile fiecarui rezident. Nu ezitati sa ne contactati! Suntem deschisi la orice propuneri si dorim sa gasim impreuna o solutie pentru fiecare batran care are nevoie de ajutor. * Consiliul director al asociatiei se implica personal in activitatea caminului, membrii sai fiind prezenti zilnic in centru si supraveghind cu atentie starea rezidentilor. * Vila este amenajata ca o pensiune, in care rezidentii se vor simta ca acasa. * Caminul ofera un mediu familial si prietenos, in care persoanele in varsta pot socializa cu alte persoane asemenea lor, sub supravegherea personalului de specialitate. * Cei care se pot deplasa vor fi stimulati sa aiba mici activitati in casa sau in curte/gradina. * Persoanele imobilizate vor fi tratate cu atentie, pentru a nu se simti abandonate. * Incurajam pastrarea legaturilor cu familia si prietenii (vizite, convorbiri telefonice, internet). Rezidentii pot primi vizite ale membrilor familiei sau prietenilor si pot petrece timp cu acestia in camin. * Cuvintele de ordine impuse personalului sunt: AFECTIUNE, ATENTIE, RESPECT. SERVICII OFERITE * Cazare * Masa: 3 mese principale si 2 gustari * Servicii medicale – supraveghere medicala 24/24; – administrarea tratament oral,injectabil, perfuzabil; – aplicare de creme protectoare pentru cei cu Pampers; – curatarea plagilor si escarelor; – recoltari analize; – evaluare zilnica a rezidentilor de catre un medic de medicina generala; – evaluare periodica a rezidentilor de catre medici specialisti; – asigurarea serviciului de ambulanta in caz de urgenta si/sau transportul la spital; – program de stimulare cognitiva cu psiholog; – consiliere psihologica; – masaj de recuperare; – kinetoterapie; – reflexoterapie; – gimnastica medicala; – recuperarea mersului pentru cei care au aceasta posibilitate, prin exercitii de mers zilnic; – terapie ocupationala. * SERVICII DE INGRIJIRE PERSONALA – asistarea rezidentilor in activitatile zilnice; – igienizarea si toaletarea rezidentilor ori de cate ori este nevoie (cel putin o data pe zi); – asistarea si ajutarea rezidentilor in timpul servirii meselor; – curatenia zilnica si de cate ori este necesara a spatiului de locuit. * SOCIALIZARE SI PETRECEREA TIMPULUI – asistenta sociala permanenta; – organizare evenimente, petreceri, aniversari; – jocuri, sporturi, concursuri; – activitati artistice si hand-made; – excursii, deplasari la teatru, circ, opera, vernisaje, muzee, concerte, etc; – periodic serate petrecute in compania unor personalitati. * SERVICII SUPLIMENTARE – analize de laborator; – consultatii de specialitate in clinici private; – examene paraclinice de specialitate; – servicii de coafura, frizerie, manichiura/pedichiura, ingrijire corporala si faciala; – servicii stomatologice. * SERVICII DE INGRIJIRE LA DOMICILIU"
"Caminul de batrani Acasa la bunici";office@caminul-acasa-la-bunici.ro;;;;;;;;;;;;;https://www.camine-batrani.ro/wp-content/uploads/2019/09/158_image_1.jpg;;"Acasa la bunici este locul unde ii pastrati aproape pe bunicii cei dragi si in acelasi timp aveti garantia ca acestia se afla in siguranta, primind atentia si grija pe care o merita. Desi se afla la doar 10 minute de centrul Bucurestiului, Acasa la bunici beneficiaza de avantajele aerului curat si spatiilor verzi generoase oferite de parcurile situate in imediata apropiere: Parcul Tineretului si Parcul Carol I. Caminul nostru asigura conditiile deosebite de care batranii au nevoie pentru a se bucura de confort, liniste si o atmosfera prietenoasa. Astfel, ei nu se vor simti singuri, ci vor fi inconjurati de persoane asemenea lor cu care pot discuta sau impartasi activitati placute. Aici incurajam bunicii sa-si petreaca impreuna timpul prin jocuri (sah, table, carti, remi), plimbari in parc, vizionarea emisiunilor preferate si alte activitati recreative, realizand terapia ocupationala atat de necesara varstei a treia. In acest mod vom pastra active atat mintea cat si trupul, cu efect benefic asupra sanatatii si starii de spirit. Echipa noastra este formata din persoane calificate, cu experienta in domeniu si va ofera cu drag serviciile medicale si psihologice necesare intretinerii si imbunatatirii sanatatii. Camerele sunt dotate cu sistem climatizare si mobilier modern."
"Acasa la Casa Snagov";icassian@yahoo.com;;;;;;;"Asistenta medicala, Consult medical regulat, Gimnastica medicala, Ingrijire persoane varstnice, Recuperare neuromotorie";;;;;;"https://www.camine-batrani.ro/wp-content/uploads/2019/09/105_image_1.jpg, https://www.camine-batrani.ro/wp-content/uploads/2019/09/105_image_2.jpg, https://www.camine-batrani.ro/wp-content/uploads/2019/09/105_image_3.jpg, https://www.camine-batrani.ro/wp-content/uploads/2019/09/105_image_4.jpg, https://www.camine-batrani.ro/wp-content/uploads/2019/09/105_image_5.jpg, https://www.camine-batrani.ro/wp-content/uploads/2019/09/105_image_6.jpg, https://www.camine-batrani.ro/wp-content/uploads/2019/09/105_image_7.jpg, https://www.camine-batrani.ro/wp-content/uploads/2019/09/105_image_8.jpg, https://www.camine-batrani.ro/wp-content/uploads/2019/09/105_image_9.jpg, https://www.camine-batrani.ro/wp-content/uploads/2019/09/105_image_10.jpg, https://www.camine-batrani.ro/wp-content/uploads/2019/09/105_image_11.jpg, https://www.camine-batrani.ro/wp-content/uploads/2019/09/105_image_12.jpg";;"Casa familiala pentru varstnici este locul pe care si-l doreste orice persoana in varsta chiar si pentru tot restul vietii. Este un spatiu potrivit ca dimensiuni, prietenos, in comunitate, astfel incat va veti simti ca acasa. Am initiat acest serviciu pentru a veni in sprijinul familiilor noastre atunci cand este necesar si nu in ultimul rand pentru a avea o batranete linistita. Ingrijirea este asigurata de persoane atent selectate si cu un inalt grad de calificare pentru a furniza servicii de cea mai buna calitate. Conceptul nostru de ingrijire este de a veni in intampinarea nevoilor individuale ale fiecarui varstnic. Ne dorim sa petreceti cat mai mult timp impreuna cu ceilalti rezidenti ai casei, in cadrul activitatilor cotidiene sau momentelor speciale. Acest lucru va depinde insa de disponibilitatea si nevoile fiecaruia. Veti avea posibilitatea sa alegeti un program individual sau comun. Daca doriti sa stati singur in camera sau impreuna cu cineva, puteti alege. In orice situatie veti beneficia de sistemul de avertizare al personalului in caz de urgenta. Fiecare camera este dotata cu baie proprie si terasa, camera de zi comuna, sala de recuperare medicala, sala de mese precum si piscina, foisor de vara, curte cu arbusti si flori. Servicii oferite: Cazare si ingrijire personala. Cazare pe o perioada scurta sau definitiva. Asistenta medicala permanenta. Servicii de frizerie, coafura, infrumusetare la cerere. Insotire la plimbare pentru activitati individuale. Respiro pentru familiile care au in ingrijire o persoana varstnica. Servicii de spalatorie, igiena personala si a spatiilor locative. Acces la internet, TV, jocuri de societate si gradinarit. Petreceri cu ocazia zilelor de nastere si sarbatorilor consacrate (Craciun, Revelion, Paste). Sala chinetoterapie. Gimnastica acvatica in piscina exterioara. Camera are 2, maxim 3 paturi, cu grup sanitar, TV, sifonier pentru lucruri personale"
"Camin de batrani Millennium";caminmillennium@gmail.com;;;;;;;"Asistenta medicala, Consiliere psihologica, psihoterapie, Consult medical regulat, Evaluare clinica, Geriatrie, Gimnastica medicala, Infirmiere, Ingrijire bolnavi, Ingrijire bolnavi cu Alzheimer, Ingrijire persoane cu handicap, Ingrijire persoane varstnice, Recuperare medicala, Recuperare neuromotorie";;;;;;"https://www.camine-batrani.ro/wp-content/uploads/2019/09/camin_millennium_cover.jpg, https://www.camine-batrani.ro/wp-content/uploads/2019/09/camin_millennium_02.jpg, https://www.camine-batrani.ro/wp-content/uploads/2019/09/camin_millennium_06.jpg, https://www.camine-batrani.ro/wp-content/uploads/2019/09/camin_millennium_05.jpg, https://www.camine-batrani.ro/wp-content/uploads/2019/09/camin_millennium_04.jpg, https://www.camine-batrani.ro/wp-content/uploads/2019/09/camin_millennium_03.jpg, https://www.camine-batrani.ro/wp-content/uploads/2019/09/camin_millennium_01.jpg";;"Caminul functioneaza intr-o vila dispusa pe parter, etaj si mansarda, cu un total de 35 paturi, unde sunt amenajate 12 camere, dotate fiecare cu paturi, noptiere, televizoare, mese, scaune in functie de suprafata acestora. In incinta cladirii este amenajata o bucatarie proprie echipata modern, aparate de aer conditionat pentru pastrarea in incinta a unei temperaturi optime, telefon fix, televizor LCD-cablu tv, calculatoare conectate la internet, grupuri sanitare la fiecare nivel. De asemenea, in exteriorul cladirii este amenajata o gradina cu bancute, scaune si mese, ce le permite rezidentilor petrecerea timpului in aer liber si desfasurarea diferitelor activitati, cum ar fi plimbari, citit, pictura/desen, jocuri de rummy, sah/table, carti etc. DESCRIERE In cadrul caminului de batrani Millennium rezidentii beneficiaza de supraveghere, ingrijire si asistenta medicala permanenta (24/24 ore), recuperare medicala prin kinetoterapie, masaj terapeutic, gimnastica medicala, stimularea capacitatilor cognitive, terapie ocupationala. Intr-o atmosfera calda si prietenoasa persoanele varstnice pot socializa cu alte persoane asemenea lor sub stricta supraveghere a personalului de specialitate format din medic, asistente, kinetoterapeut, infirmiere, personal de servicii. Toti angajatii nostri sunt atent selectionati, calificati si instruiti specific pentru a putea oferi rezidentilor nostri servicii de calitate si asistenta la un nivel profesionist pentru diverse afectiuni cum ar fi: Dementa, Boala Parkinson, Boala Alzheimer (stadiu de inceput sau mediu de boala), afectiuni reumatismale, incontinenta urinara, stari post operatorii si/sau post traumatice, sechele post Accidente Vasculare Cerebrale etc. Incurajam pastrarea legaturii cu familia si prietenii (vizite, convorbiri telefonice sau video, internet), suntem deschisi la orice propunere si dorim sa gasim impreuna cele mai bune solutii pentru fiecare rezident in parte. SERVICII OFERITE: Servicii de cazare; Servirea mesei – 3 mese principale si 2 gustari adaptate in functie de afectiuni; Servicii de ingrijire personala: Igienizare si toaletare ori de cate ori este nevoie, minim o data pe zi; Asistare si ajutor la servirea mesei si in activitatile zilnice; Evaluare clinica la internare si consult medical saptamanal/lunar; Periodic consulturi de specialitate oferite de medici neurolog, cardiolog, psihiatru, psiholog Asistenta si supraveghere medicala permanenta prin asistente medicale, infirmiere, ingrijitoare; Administrarea tratamentului medicamentos conform schemei de tratament; Recuperare medicala (kinetoterapie, reflexoterapie, masaj terapeutic, gimnastica medicala); Asigurarea primului ajutor si solicitarea serviciului de ambulanta in caz de accident; Servicii de spalatorie, uscatorie, calcatorie; Activitati socio-culturale si terapie ocupationala; Socializare si petrecerea timpului (organizarea de evenimente diverse, jocuri, concursuri, petreceri si serbari ale zilelor de nastere/onomastice). Servicii suplimentare (contra cost): Consultatii medicale de specialitate la cerere (in cadrul centrului sau in clinica privata); Analize de laborator; Alte servicii la cerere."
"Asociatia Monsan";office@camin-monsan.ro;;;;;;;"Asistenta medicala, Consiliere psihologica, psihoterapie, Consult medical regulat, Evaluare clinica, Infirmiere, Ingrijire bolnavi, Ingrijire bolnavi cu Alzheimer, Ingrijire persoane cu handicap, Ingrijire persoane varstnice, Reflexoterapie";;;;;;"https://www.camine-batrani.ro/wp-content/uploads/2019/09/224_image_3.jpg, https://www.camine-batrani.ro/wp-content/uploads/2019/09/img1645021333950.jpg, https://www.camine-batrani.ro/wp-content/uploads/2019/09/20190116_162725.jpg, https://www.camine-batrani.ro/wp-content/uploads/2019/09/IMG_20220215_194135.jpg";;"Scopul activitatii noastre este de a crea un climat confortabil seniorilor pentru ca acestia sa nu simta lipsa caldurii din familie, beneficiind de servicii apropiate de ceea ce isi doresc. Dispunem de paturi foarte confortabile, atmosfera intima, supraveghere medicala permanenta. Bucataria este utilata corespunzator, meniurile se stabilesc zilnic in functie de patologia si preferintele asistatilor."
"Bunici Fericiti";office@bunicifericiti.ro;;Chitila;;;;;"Asistenta medicala, Consult medical regulat, Gimnastica medicala, Ingrijire bolnavi, Ingrijire bolnavi cu Alzheimer, Ingrijire persoane varstnice";;;;;;;;"Căminul de bătrâni « Bunici Fericiți » este situat în Chitila, aproape de Centura București și totuși departe de agitația capitalei. Imobilul în care operează căminul este o construcție nouă, pe trei nivele, fiind o locație primitoare și călduroasă, cu o atmosferă ce te duce cu gândul la « acasă ». Căminul dispune de camere cu 2, 3, 4 sau 6 paturi, încurajând și prin acest aspect socializarea. Fiecare cameră dispune de încălzire individuală și de aer condiționat. In cadrul căminului nostru de bătrâni există și un cabinet unde oferim seniorilor servicii de asistență medicală. Nu în ultimul rând, Căminul de bătrâni « Bunici Fericiți » dispune de o Zona de zi dotată cu o bibliotecă bogată, numeroase jocuri de societate și un spațiu generos pentru exerciții fizice, seri cinematice sau de dans. Oferim toate aceste facilități deoarece considerăm că socializarea, mișcarea și alimentația corectă sunt esențiale pentru calitatea vieții seniorilor cazați la noi."
"Asociatia pentru ingrijirea varstnicilor Ariminia";ariminia@outlook.com;;Clinceni;;;;;"Asistenta medicala, Consiliere psihologica, psihoterapie, Consult medical regulat, Evaluare clinica, Geriatrie, Gimnastica medicala, Ingrijire bolnavi, Ingrijire bolnavi cu Alzheimer, Ingrijire persoane cu handicap, Ingrijire persoane varstnice, Recuperare medicala, Recuperare neuromotorie";;;;;;"https://www.camine-batrani.ro/wp-content/uploads/2021/06/Screenshot-2021-06-07-at-11.31.15.png, https://www.camine-batrani.ro/wp-content/uploads/2021/06/Screenshot-2021-05-18-at-21.11.43.png";;"Pe parcursul anilor am reușit sa ne specializam pe un domeniu medical cu impact major asupra societății, respectiv sindromul Alzheimer a cărui incidenta a crescut îngrijorător in ultima perioada si căruia i se acorda o atenție deosebita pe plan internațional. Prin specializarea noastră si prin eforturile depuse ne ridicam la standarde internaționale."
